Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-17,b'UP BJP MLA Rajeshwar Singh urges Union government to bring legislation that mandates compulsory physical fitness pe\xe2\x80\xa6 https://t.co/NKauX9KiVI',https://twitter.com/PTI_News/status/1604067707883728897,69,594,6.63
2022-12-17,"b""One dead, two injured in fire at building in Mumbai's Ghatkopar: Official""",https://twitter.com/PTI_News/status/1604058228093898754,1,168,1.69
2022-12-17,"b'Union Home Minister Amit Shah holds talks on infiltration, transborder smuggling and other issues at 25th Eastern Z\xe2\x80\xa6 https://t.co/lfqaGdJJAt'",https://twitter.com/PTI_News/status/1604047993724112897,11,109,1.2
2022-12-17,"b'Tax rate on husk of pulses reduced to nil from 5 per cent, says Revenue Secretary after GST Council meeting'",https://twitter.com/PTI_News/status/1604042036466057218,20,147,1.67
2022-12-17,b'GST Council agrees to decriminalise certain offences; threshold of launching prosecution doubled to Rs 2 cr: Revenu\xe2\x80\xa6 https://t.co/9HEjE5LHEK',https://twitter.com/PTI_News/status/1604041534206226432,11,103,1.14
2022-12-17,"b'GST Council could not discuss taxation on tobacco and gutkha due to paucity of time, says Finance Minister Nirmala Sitharaman'",https://twitter.com/PTI_News/status/1604040695311781889,27,340,3.67
2022-12-17,"b""Congress leader Rahul Gandhi's comments belittle India, break morale of our armed forces: BJP""",https://twitter.com/PTI_News/status/1604001182556377088,18,281,2.99
2022-12-17,b'BJP says Congress should expel Rahul Gandhi from party for his remark that Chinese are beating up Indian soldiers in Arunachal Pradesh',https://twitter.com/PTI_News/status/1604000428273737728,130,1562,16.92
2022-12-17,b'Mehrauli murder case: Aaftab Poonawala informs court he had signed vakalatnama but was not aware bail plea would be filed on his behalf',https://twitter.com/PTI_News/status/1603998413988671488,6,105,1.11
2022-12-17,b'Mehrauli murder case: Court posts hearing on bail plea of accused Aaftab Amin Poonawala to December 22',https://twitter.com/PTI_News/status/1603997408178114562,7,93,1.0
2022-12-17,"b""SC dismisses Bilkis Bano's plea seeking review of its order asking Gujarat govt to consider remission pleas of 11 convicts in gangrape case""",https://twitter.com/PTI_News/status/1603994974122831872,32,301,3.33
2022-12-17,b'India now working on setting agenda on world stage: Defence Minister Rajnath Singh',https://twitter.com/PTI_News/status/1603991702548582400,31,659,6.9
2022-12-17,"b'Whether it is Galwan or Tawang, bravery and valour shown by Indian forces praiseworthy: Defence Minister Rajnath Singh'",https://twitter.com/PTI_News/status/1603991536152498176,9,283,2.92
2022-12-17,b'Mehrauli murder case: Court to have word with accused Aaftab Amin Poonawala regarding his bail plea through video-conferencing at 11.30 am',https://twitter.com/PTI_News/status/1603981216977678336,3,95,0.98
2022-12-17,b'Mehrauli murder case: Accused Aaftab Amin Poonawala informs court through email that bail plea was moved erroneously',https://twitter.com/PTI_News/status/1603980377885851653,5,195,2.0
2022-12-17,"b'Fire in south Delhi hospital, five fire tenders rushed to spot. No injuries or casualties reported: Delhi Fire Services'",https://twitter.com/PTI_News/status/1603979455751663616,6,112,1.18
2022-12-17,"b'India records 167 fresh COVID-19 cases, infection tally climbs to 4,46,75,776. Death toll due to the viral disease\xe2\x80\xa6 https://t.co/8L8MppclHl'",https://twitter.com/PTI_News/status/1603974841995890688,8,131,1.39
2022-12-17,b'Panel investigating the January 6 attack on the U.S. Capitol is considering recommending justice department to purs\xe2\x80\xa6 https://t.co/qrBi2hV6Nw',https://twitter.com/PTI_News/status/1603913519321477120,9,139,1.48
2022-12-16,b'US: New Pentagon office set up to track reports of unidentified flying objects says it has received \xe2\x80\x9cseveral hundre\xe2\x80\xa6 https://t.co/yevWwF5MCw',https://twitter.com/PTI_News/status/1603899342351257600,19,171,1.9
2022-12-16,"b""U.N. General Assembly rejects attempts by Myanmar's military junta, Afghanistan's Taliban rulers, &amp; Libya's rival e\xe2\x80\xa6 https://t.co/dyOYBOBFQN""",https://twitter.com/PTI_News/status/1603895316180500480,10,177,1.87
2022-12-16,b'Congress president Mallikarjun Kharge congratulates party leader Rahul Gandhi for completing 100 days of \xe2\x80\x98Bharat Jo\xe2\x80\xa6 https://t.co/b7sLsvIIXi',https://twitter.com/PTI_News/status/1603815118298443776,40,287,3.27
2022-12-16,b'There is immense enthusiasm among students to learn about new technology and government is giving them opportunitie\xe2\x80\xa6 https://t.co/Pu9zZxkf7y',https://twitter.com/PTI_News/status/1603809749421920256,10,110,1.2
2022-12-16,b'Delhi court acquits 4 men accused of rioting during 2020 northeast Delhi riots',https://twitter.com/PTI_News/status/1603767133129052161,33,344,3.77
2022-12-16,b'Delhi Police has arrested 3 men for allegedly running illegal call centres and defrauding senior citizens based in the US.',https://twitter.com/PTI_News/status/1603754885073506305,18,238,2.56
2022-12-16,"b""BJP to hold nationwide protests on Saturday against Pak Foreign Minister Bilawal Bhutto's 'highly shameful, derogatory' remarks on PM Modi""",https://twitter.com/PTI_News/status/1603736178473435136,545,5634,61.79
2022-12-16,"b'Acid attack on girl: NHRC notice to Delhi govt, police commissioner, State Legal Services Authorities'",https://twitter.com/PTI_News/status/1603733661454848000,9,149,1.58
2022-12-16,b'Forex reserves increase by USD 2.908 bn to USD 564.07 billion for the week ended December 9: RBI data',https://twitter.com/PTI_News/status/1603724936941826048,44,662,7.06
